instrument,stream,parameters
CTDBPN,streamed-ctdbp_no_sample,"time,ctdbp_no_seawater_pressure,seawater_temperature,practical_salinity"
CTDBPO,streamed-ctdbp_no_sample,"time,ctdbp_no_seawater_pressure,seawater_temperature,practical_salinity"
CTDPFA,streamed-ctdpf_sbe43_sample,"time,seawater_pressure,seawater_temperature,practical_salinity,corrected_dissolved_oxygen"
CTDPFB,streamed-ctdpf_optode_sample,"time,seawater_pressure,seawater_temperature,practical_salinity,dissolved_oxygen"
CTDPFL_DP,recovered_inst-dpc_ctd_instrument_recovered,"temp, sal"
DOSTAD,streamed-do_stable_sample,"time,dissolved_oxygen"
DOSTAD_DP,recovered_inst-dpc_optode_instrument_recovered,"time,dissolved_oxygen"
FLCDRA_DP,recovered_inst-dpc_flcdrtd_instrument_recovered,"time,flcdr_x_mmp_cds_fluorometric_cdom"
FLNTUA_DP,recovered_inst-dpc_flnturtd_instrument_recovered,"time,flntu_x_mmp_cds_total_volume_scattering_coefficient,flntu_x_mmp_cds_fluorometric_chlorophyll_a,flntu_x_mmp_cds_bback_total"
FLORDD,streamed-flort_d_data_record,"time,seawater_scattering_coefficient,fluorometric_chlorophyll_a,optical_backscatter"
FLORTD,streamed-flort_d_data_record,"time,seawater_scattering_coefficient,fluorometric_chlorophyll_a,optical_backscatter"
NUTNRA,streamed-nutnr_a_sample,"time,salinity_corrected_nitrate"
PARADA,steamed-parad_sa_sample,"time,par_counts_output"
PCO2WA,streamed-pco2w_a_sami_data_record,"time,pco2_seawater"
PCO2WB,streamed-pco2w_b_sami_data_record,"time,pco2_seawater"
PHSENA,streamed-phsen_data_record,"time,ph_seawater"
PHSEND,streamed-phsen_data_record,"time,ph_seawater"
